question_id,question_id_individual,question_individual,token_count
d7819299-d5f3-4a26-b5c9-36e6e136cf8c,d7819299-d5f3-4a26-b5c9-36e6e136cf8c__A,Ist ein externer DVD Brenner genauso gut wie ein interner DVD Brenner ?,12
35c5b530-6617-4a1a-82d5-9690e510dcce,35c5b530-6617-4a1a-82d5-9690e510dcce__A,Mag er mich sehr oder nicht oder sogar mehr ?,9
8d7d7eae-ca50-407b-bb51-a6763f2e4151,8d7d7eae-ca50-407b-bb51-a6763f2e4151__C,Und welches von den zwei würdet ihr eher empfehlen ?,9
94d3d04b-f655-4e16-a734-93ba2e2ca136,94d3d04b-f655-4e16-a734-93ba2e2ca136__A,Welcher Pakt ist besser für Treffsicherheitsjäger ?,6
22468d54-f1a1-4b27-be50-ea85fe400af5,22468d54-f1a1-4b27-be50-ea85fe400af5__A,"An alle Frauen , die gerne Kleider und Röcke tragen Mögt ihr lieber gefütterte oder ungefütterte Kleider/ Röcke ?",17
0fce8f77-db4c-4688-8bec-ae27173da11e,0fce8f77-db4c-4688-8bec-ae27173da11e__B,"Angenommen ihr habt die Wahl zwischen Kik und Tedi , welche der beiden Läden besucht ihr ?",15
9e401b5d-f0ac-4ded-ac2d-a5cadff37165,9e401b5d-f0ac-4ded-ac2d-a5cadff37165__A,"Avatar , der Herr der Elemente Welches Girl fandet ihr am hottesten ?",11
669bcc57-5661-49e1-a4f6-a25c9414ff5d,669bcc57-5661-49e1-a4f6-a25c9414ff5d__A,"Bist Du gut darin , Probleme zu lösen , oder fällt es Dir eher schwer ?",13
0de61b1d-017f-4de6-981b-b0e62474303d,0de61b1d-017f-4de6-981b-b0e62474303d__C,"Deckt ihr euch mit dem Handtuch ab , zieht euch einfach so aus oder habt ihr doch eine andere Taktik entwickelt ?",20
b3f32f9d-6058-4811-9b66-0547f8d63de1,b3f32f9d-6058-4811-9b66-0547f8d63de1__B,Einige Dateien sind schon sehr groß- macht ihr dann nur einen Ordner und Datei einzeln kopieren oder alles gesamt einfach kopieren ?,20
5d96caff-feb5-4435-bd9f-f7bd9b421be2,5d96caff-feb5-4435-bd9f-f7bd9b421be2__A,"Findest du es attraktiver , wenn eine ( und selbe ) Frau ein Mini trägt oder Jeans ?",14
b5cd1805-3390-4865-b06b-9d68d43123af,b5cd1805-3390-4865-b06b-9d68d43123af__A,"Frage an Frauen Wollt ihr eher Beruf , Karriere , ohne Mann aber Kind , oder Mann und Kind , Karriere ?",17
897b5d52-b430-4a39-bff1-82739d423c19,897b5d52-b430-4a39-bff1-82739d423c19__B,"Geht es nur mir so , oder gibt es noch andere hier , denen das wehtut an den Knien ?",17
dfe2b5d3-b368-4b9b-804f-42a088390487,dfe2b5d3-b368-4b9b-804f-42a088390487__C,Haltet ihr euch daran oder scheißt ihr drauf ?,8
6f34912d-2a11-42b1-9780-bba453dc2a3c,6f34912d-2a11-42b1-9780-bba453dc2a3c__A,Hat Social Media dein Leben positiv oder negativ beeinflusst ?,9
71246abf-e317-430f-9c39-9541e6440089,71246abf-e317-430f-9c39-9541e6440089__B,Hättet ihr - wenn ihr es euch aussuchen könntet - lieber einen längeren Vor- und kürzeren Nachnamen oder umgekehrt ?,16
1e0507b1-0206-469b-9ead-c5675f869e94,1e0507b1-0206-469b-9ead-c5675f869e94__B,"Hey , würdet ihr air force 1 mit Schleife oder ohne eine Schleife bei den Schnürsenkeln tragen ?",16
459cafa4-a8f0-4423-b3d2-cee8c66d307e,459cafa4-a8f0-4423-b3d2-cee8c66d307e__B,Könntet ihr ohne einen Partner nicht leben oder lebt ihr lieber ohne Partner ?,13
01e4850d-70bc-44bb-b0f2-2401f3635cc2,01e4850d-70bc-44bb-b0f2-2401f3635cc2__A,"Machst du dir eher Gedanken , Dinge richtig zu tun oder die richtigen Dinge zu tun ?",15
71298b92-99e8-4c62-afa1-bd23ee005a33,71298b92-99e8-4c62-afa1-bd23ee005a33__A,"Mögt ihr lieber Minecraft , Roblox , Cod , Battlefield , Cs go oder Fortnite ?",11
dc6dba39-0aaa-4543-af9d-4fabdae109b2,dc6dba39-0aaa-4543-af9d-4fabdae109b2__B,Nun würdet ihr aufgeben und wiederholen oder versuchen ?,8
daf22f50-c21f-4a51-807e-8805bc868067,daf22f50-c21f-4a51-807e-8805bc868067__A,"Reis oder Brot , was mögt ihr mehr ?",7
edef33a5-c47b-42f3-87d7-bbfd837d3a0e,edef33a5-c47b-42f3-87d7-bbfd837d3a0e__B,"Seid ihr mit euren Internet - Telefonanbietern zufrieden , oder ist diesbezüglich noch Luft nach oben ?",14
