question_id;question_id_individual;question_text;token_count;Conceptual Question Type;Functional Question Type;token_group
5c0aa712-4002-4c9a-8c8d-dc117971e6c5;5c0aa712-4002-4c9a-8c8d-dc117971e6c5__C;( feste beziehung ) und wo finde ich leute ?;7;;;5-10
bbd874c2-2560-4715-8177-22f30616c769;bbd874c2-2560-4715-8177-22f30616c769__B;( ja ich weiß es ist nicht gesund ) Fühlt ihr euch durch das rauchen entspannter ?;14;;;11-15
ccb8b845-0089-4ac0-b0dd-012bf1040b72;ccb8b845-0089-4ac0-b0dd-012bf1040b72__C;2 . Bild : Warum ist hier ein Vorfahrtschild und direkt dahinter Give way ?;12;;;11-15
78581ddc-7e0e-4ef5-ab3b-c07d0a78a6e1;78581ddc-7e0e-4ef5-ab3b-c07d0a78a6e1__B;2-Variante , die Impfungen momentan kaum noch helfen und ein aktueller Impfstoff immer noch nicht zugelassen ist ?;15;;;11-15
7299d254-04f4-4d2f-9c0c-d7297cf5adbd;7299d254-04f4-4d2f-9c0c-d7297cf5adbd__B;Aber darf man Navis verwenden , die Blitzer anzeigen können , man diese Funktion aber nicht verwendet ?;15;;;11-15
d1b0350f-e9f2-4d0b-af3e-16e0fbd71081;d1b0350f-e9f2-4d0b-af3e-16e0fbd71081__B;Aber selbst wenn man sowas äußert , müsste nicht Jeder seine Meinung haben dürfen wenn diese keinen anderen schädigt ?;18;;;16-20
d8ae4d4b-fb66-4444-a66f-5dc02e852f57;d8ae4d4b-fb66-4444-a66f-5dc02e852f57__B;Aber warum gibt es dann Menschen die nur aus finanziellen Grünen arbeiten und auch ohne Arbeit nicht depressiv werden ?;19;;;16-20
cd232d06-f068-41a2-aca3-d9b3aec886f8;cd232d06-f068-41a2-aca3-d9b3aec886f8__C;Aber weshalb in einer Wohnung ?;5;;;5-10
38ecce87-6c7b-4e6f-bced-0e3e5333c35f;38ecce87-6c7b-4e6f-bced-0e3e5333c35f__C;Aber wie sollte der Ablauf für optimale Fettverbrennung sein ?;9;;;5-10
44cbae82-d52b-460f-b6cc-220c3c2044e9;44cbae82-d52b-460f-b6cc-220c3c2044e9__C;Aber zumindest geht keine Linie zum Herz ( Stich ist am linken Unterarm ) Hat jemand Erfahrung mit so einem Stich/Biss ?;20;;;16-20
66fc1a36-4975-4568-90fe-8e71e20a85ac;66fc1a36-4975-4568-90fe-8e71e20a85ac__A;Akkustik schaumstoff matten mit Pattex Montagekleber All Materials an holz wand kleben ?;12;;;11-15
ddc93870-8ad7-43f2-9050-3515d31262de;ddc93870-8ad7-43f2-9050-3515d31262de__A;Als ihr mal so eine Zeit hattet wo euch die ganze Zeit was tief ekelhaft bedrückt hat ?;17;;;16-20
ff50ce8d-cf20-4e86-8710-67f77f440986;ff50ce8d-cf20-4e86-8710-67f77f440986__C;Also die Aufrufe stehen ja drunter aber kann man auch sehen wer es angeschaut hat ?;15;;;11-15
0744019a-9cdb-45ab-8563-ebb19457d747;0744019a-9cdb-45ab-8563-ebb19457d747__B;Also die Story , kommt da in der Zukunft noch was ?;10;;;5-10
a5a773f6-25e6-4f60-a8a7-55e7ab98e1d6;a5a773f6-25e6-4f60-a8a7-55e7ab98e1d6__C;Also ich meine wenn es eigentlich ganz gut läuft , und wie viele Kunden hat man im Monat ?;17;;;16-20
0c310114-8824-4902-bb22-bc18bdd1889b;0c310114-8824-4902-bb22-bc18bdd1889b__B;Also meine frage wozu hat man die ganzen Reibwerte gegeben ?;10;;;5-10
e51f8758-24f9-45fe-9486-9bd39fac255a;e51f8758-24f9-45fe-9486-9bd39fac255a__B;Also worauf macht ihr eure Arbeit , also Videos schauen , Texte schreiben , Zocken und Musik hören ?;15;;;11-15
e0c3cd79-3fa6-4c52-8c84-0960d9d6401d;e0c3cd79-3fa6-4c52-8c84-0960d9d6401d__C;An die Männer die Frage : Wieso machen das einige von euch ?;11;;;11-15
8f4c96fb-b618-4b72-bdd7-9bbf5854a6cf;8f4c96fb-b618-4b72-bdd7-9bbf5854a6cf__C;Bedeutet die Blutung jetzt ich war die ganze Zeit nicht geschützt oder ist das eine Nebenwirkung der zweifachen doppelten Einnahme ?;20;;;16-20
b86e2c23-2952-46a5-b38b-c429e7c798fc;b86e2c23-2952-46a5-b38b-c429e7c798fc__B;Bei der Monatlichen abrechnug meines Girokontos , erhalte ich immer einige Cent . . . woran liegt das ?;14;;;11-15
2587cef8-5200-4763-b866-435826f7ef1f;2587cef8-5200-4763-b866-435826f7ef1f__A;Bei krypto . com einem Antrag auf Verifizierung gestellt obwohl ich noch nicht 18 bin ?;14;;;11-15
2146e00a-b117-46d0-8723-f053a9a43e79;2146e00a-b117-46d0-8723-f053a9a43e79__B;Bis jetzt habe ich nur dieses gefunden : - Gibt es eventuell noch andere ?;12;;;11-15
669bcc57-5661-49e1-a4f6-a25c9414ff5d;669bcc57-5661-49e1-a4f6-a25c9414ff5d__A;Bist Du gut darin , Probleme zu lösen , oder fällt es Dir eher schwer ?;13;;;11-15
f73d63b8-6ca7-413e-83c8-7e6d7c44b7e5;f73d63b8-6ca7-413e-83c8-7e6d7c44b7e5__A;Blätter der Magnolie werden angefressen , gibts was zum raufsprühen ?;9;;;5-10
ed594c3a-48ad-4def-831a-e93abe575d17;ed594c3a-48ad-4def-831a-e93abe575d17__A;Blöde Frage zu VLC : wenn ich konvertiere mit dem VLC wie gehe ich da vor ?;15;;;11-15
86a17585-02ad-471b-af4b-7f60b1c46e0b;86a17585-02ad-471b-af4b-7f60b1c46e0b__B;Brauche ich da einen BH oder Bustier ?;7;;;5-10
f5d745c7-6190-452a-9e8e-c72d5abd8ea7;f5d745c7-6190-452a-9e8e-c72d5abd8ea7__D;Bzw geht ihr danach duschen oder nicht ?;7;;;5-10
788499b8-fccd-4197-bfb0-4a4b5e2aa122;788499b8-fccd-4197-bfb0-4a4b5e2aa122__A;Cmd öffnet und schließt sich ?;5;;;5-10
21204a03-c79a-46ba-bf5b-bd52aa758061;21204a03-c79a-46ba-bf5b-bd52aa758061__B;Da wollte ich fragen ob das registrieren kostenlos ist und wer allgemein Erfahrungen mit der Webseite hat ?;17;;;16-20
0a53ce82-b1c2-49ad-ac07-3afa49b48dab;0a53ce82-b1c2-49ad-ac07-3afa49b48dab__B;Daher meine Frage : Könnte man theoretisch auch während der Vorlesungszeit über die 20h Grenze gehen ohne den Werkstudentenprivileg zu verlieren ?;19;;;16-20
60872b5f-ea28-4881-8371-7ed72a40a1f6;60872b5f-ea28-4881-8371-7ed72a40a1f6__B;Danach weiß ich ja soll man was warmes trinken und nichts kaltes , aber warum davor nichts warmes ?;17;;;16-20
9c2ae68a-fe79-4285-9ffc-938695e4306a;9c2ae68a-fe79-4285-9ffc-938695e4306a__A;darf ich zu mir Sertralin ( Antidepressiva ) nehmen obwohl seit langem nicht mehr benutzt habe ?;14;;;11-15
1308d3cc-50b0-49a7-92e7-a5ccd144d02b;1308d3cc-50b0-49a7-92e7-a5ccd144d02b__A;Darf mann mit einem messer oder so draussen haben also versteckt zur selbstverteidiung ?;13;;;11-15
72a31b97-e616-4fc8-94a4-eb8c3525afd4;72a31b97-e616-4fc8-94a4-eb8c3525afd4__B;Das ist Betrug aber wie nennt sich das Ganze laut Strafgesetzbuch ?;11;;;11-15
53562119-35e4-4e96-af3a-f82df0f92996;53562119-35e4-4e96-af3a-f82df0f92996__F;Das werdet ihr mir wahrscheinlich schlecht sagen können aber habt ihr da Erfahrungen ?;13;;;11-15
470baafa-1e67-4b30-aee4-1b84ed1fb95c;470baafa-1e67-4b30-aee4-1b84ed1fb95c__B;Denkt ihr , dass durch mein Denken daran , ich mich wirklich ernsthaft verschlucken kann ?;13;;;11-15
cd52608b-fa4a-4e01-91dd-9f46379c496f;cd52608b-fa4a-4e01-91dd-9f46379c496f__B;Denkt ihr , dass ich dadurch glücklicher werde oder soll ich was anderes machen ?;13;;;11-15
10d30daa-c222-427b-8a69-256b35c83e97;10d30daa-c222-427b-8a69-256b35c83e97__B;Der Controller verbindet sich problemlos mit dem PC , leuchtet weiß auf , aber wird nicht in Ds4 windows angezeigt , woran liegt das ?;20;;;16-20
48cb1dbf-4a37-4467-9877-891123d10dd5;48cb1dbf-4a37-4467-9877-891123d10dd5__B;Der Schaden befindet sich an der Ecke rechts unten . . . Meine Frage ist jetzt - wie gefährlich ist das wirklich ?;18;;;16-20
1f73cbcc-e144-44c6-94a9-7f7dc94900b6;1f73cbcc-e144-44c6-94a9-7f7dc94900b6__C;Deshalb meine Frage an die Community ob es eine Erklärung für den Rückgang gibt ?;14;;;11-15
9e71b751-3e67-4d7b-bdb2-0d0ffca3d9a2;9e71b751-3e67-4d7b-bdb2-0d0ffca3d9a2__C;Die Pause sollte ja eigentlich auch als Pause genutzt werden Gibt es da eine Verordnung oder ähnliches für diese Thematik ?;20;;;16-20
d249a50d-7b44-4e67-a19c-83f3cb461fdc;d249a50d-7b44-4e67-a19c-83f3cb461fdc__A;Dürfen Psychotherapeuten auch Diagnosen stellen oder dürfen dies nur Ärzte ?;10;;;5-10
d6a95efa-0620-492c-833d-d1d0c499493e;d6a95efa-0620-492c-833d-d1d0c499493e__A;Einfach eine Wohnung finden , was sind eure Tipps und Tricks ?;10;;;5-10
67a49308-d745-4ef5-a1a0-e69a29357422;67a49308-d745-4ef5-a1a0-e69a29357422__B;Einfach nur zur Bestätigung , wegen dem leichten Durchfall den ich hatte , muss ich mir sorgen machen dass irgendwas passiert ist ?;20;;;16-20
8f55b995-02ab-47b8-8f70-4313eee65a37;8f55b995-02ab-47b8-8f70-4313eee65a37__A;Epic games will mein konto löschen ?;6;;;5-10
23c49a3d-6eb7-4e4c-b81b-221adf4d9564;23c49a3d-6eb7-4e4c-b81b-221adf4d9564__A;Erinnern euch die Halteschlaufen in Verkehrsmitteln die von der Decke baumeln auch an Pferdeschwänze ?;14;;;11-15
e0f776e8-c436-4cc6-920d-337f840a611d;e0f776e8-c436-4cc6-920d-337f840a611d__F;Frage 3 : funktioniert der dlc wenn man bereits in einem gespeicherten Spiel ist oder muss man von vorne beginnen ?;19;;;16-20
942b9309-137f-44b3-87f0-cfabbec1b0ca;942b9309-137f-44b3-87f0-cfabbec1b0ca__B;Gehst das trotzdem für den Schwimmunterricht ?;6;;;5-10
2817f94f-6c30-4c16-a491-bfdd97ac79ab;2817f94f-6c30-4c16-a491-bfdd97ac79ab__B;Geht das nur wenn ich in der Nähe bin oder können das auch andere machen ?;15;;;11-15
a9bda05a-143e-47f9-a5f3-be4aa54b812f;a9bda05a-143e-47f9-a5f3-be4aa54b812f__C;Gibt es besondere Gestaltungsmöglichkeiten , welche ihr euch vorstellen könntet ?;9;;;5-10
235c3f8c-11c9-49dd-bd62-08c270a53b3c;235c3f8c-11c9-49dd-bd62-08c270a53b3c__C;Gibt es ein einfacheren Weg als eigene Recherche , die für einen Laien anspruchsvoll sein kann ?;15;;;11-15
